縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
新北市石門區,772.0,385.0,1699.0,758.0,3.0,2.0,7.0,3.0,15.0,3614.0,20.0
新竹縣尖石鄉,140.0,230.0,100.0,685.0,3.0,3.0,2.0,10.0,18.0,1155.0,16.7
新北市五股區,1097.0,512.0,3358.0,599.0,3.0,3.0,4.0,2.0,12.0,5566.0,25.0
新北市八里區,1981.0,1293.0,1301.0,2530.0,3.0,2.0,4.0,3.0,12.0,7105.0,25.0
新北市石碇區,639.0,0.0,963.0,399.0,3.0,0.0,1.0,2.0,6.0,2001.0,50.0
新北市坪林區,1256.0,0.0,334.0,10.0,3.0,0.0,3.0,1.0,7.0,1600.0,42.9
新竹縣關西鎮,1755.0,2680.0,1840.0,330.0,3.0,5.0,3.0,2.0,13.0,6605.0,23.1
新北市新莊區,1970.0,3140.0,7633.0,13305.0,3.0,5.0,9.0,19.0,36.0,26048.0,8.3
新北市金山區,1703.0,26033.0,463.0,73.0,3.0,6.0,4.0,1.0,14.0,28272.0,21.4
桃園市大溪區,145.0,200.0,1370.0,455.0,3.0,3.0,7.0,9.0,22.0,2170.0,13.6
桃園市大園區,880.0,390.0,4470.0,900.0,3.0,2.0,8.0,3.0,16.0,6640.0,18.8
屏東縣瑪家鄉,258.0,0.0,443.0,1268.0,3.0,0.0,1.0,7.0,11.0,1969.0,27.3
臺東縣大武鄉,500.0,450.0,650.0,0.0,3.0,2.0,4.0,0.0,9.0,1600.0,33.3
苗栗縣泰安鄉,260.0,0.0,530.0,600.0,3.0,0.0,5.0,5.0,13.0,1390.0,23.1
南投縣埔里鎮,200.0,30.0,950.0,3635.0,3.0,1.0,11.0,24.0,39.0,4815.0,7.7
基隆市暖暖區,200.0,117.0,878.0,0.0,3.0,2.0,8.0,0.0,13.0,1195.0,23.1
