district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
平溪街,1,525,0,POINT (121.7376 25.0272),525.0,0.0
廟美街,1,82,0,POINT (121.5011 25.0014),82.0,0.0
信義路,2,300,0,POINT (121.535 25.0137),300.0,0.0
延和路,1,2293,0,POINT (121.464774 24.988807),2293.0,0.0
建中街,1,250,0,POINT (121.4451 25.0369),250.0,0.0
建安路,1,292,0,POINT (121.4471 24.9264),292.0,0.0
弘園街,1,926,0,POINT (121.3672 24.9278),926.0,0.0
御史路,1,182,0,POINT (121.440224 25.090383),182.0,0.0
復旦路,1,90,0,POINT (121.7393 25.1455),90.0,0.0
復興街,1,60,0,POINT (121.7525 25.1254),60.0,0.0
德茂里,1,25,0,POINT (121.519157 25.283263),25.0,0.0
信六路,1,61,0,POINT (121.7477 25.135),61.0,0.0
忠孝東,1,1190,0,POINT (121.661912 25.066456),1190.0,0.0
忠孝街,2,1789,0,POINT (121.42394 24.981755),1789.0,0.0
忠孝路,2,1020,0,POINT (121.3762 25.0686),1020.0,0.0
孝四路,1,36,0,POINT (121.7385 25.1307),36.0,0.0
光明路,1,200,0,POINT (121.7166 25.0983),200.0,0.0
孝一路,2,70,0,POINT (121.7406 25.1287),70.0,0.0
坑內1,1,299,0,POINT (121.637 24.9533),299.0,0.0
凌雲路,1,149,0,POINT (121.43072 25.107778),149.0,0.0
千歲街,1,1151,0,POINT (121.426072 24.997757),1151.0,0.0
南勢二,1,106,0,POINT (121.359019 25.073835),106.0,0.0
公園街,1,106,0,POINT (121.7371 25.0247),106.0,0.0
南新街,1,40,0,POINT (121.7442 25.1233),40.0,0.0
